Part;Value;;;;Device;Package;Description;MPN;PROD_ID;VALUE
C1;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
C2;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
C3;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
C4;10uF;Tantalum capacitor 10uf 16v type B 3528 (1210) ;0,13;;CAP_POL3528-KIT;EIA3528-KIT;Capacitor Polarized;;;
C5;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
C6;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
C7;47pF;;;;CAP0603-CAP;0603-CAP;Capacitor;;;
C8;47pF;;;;CAP0603-CAP;0603-CAP;Capacitor;;;
C9;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
C10;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
C11;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
C12;10uF;Tantalum capacitor 10uf 16v type B 3528 (1210) ;0,13;;CAP_POL3528-KIT;EIA3528-KIT;Capacitor Polarized;;;
C13;1uF;0603 1UF ceramic capacitor;0,0086;https://www.aliexpress.com/item/100PCS-0603-1UF-105-1000NF-10V-Y5V-Ceramic-capacitors-Good-Quality-and-ROHS/1091059510.html?spm=a2g0s.9042311.0.0.PeR08B;CAP0603-CAP;0603-CAP;Capacitor;;;
C14;10uF;Tantalum capacitor 10uf 16v type B 3528 (1210) ;0,13;;CAP_POL3528-KIT;EIA3528-KIT;Capacitor Polarized;;;
C15;0.1uF;0603 0.1uF 50V  10% SMD Multilayer Ceramic Chip Capacitor;0,0057;aliexpress (seller don't exist anymore);CAP0603-CAP;0603-CAP;Capacitor;;;
